trials.thisN,num_distr,mouse.time,mouse.clicked_name,,,,,
148,10,1.4443902,['target'],,,,,
150,10,1.1823507,['target'],,,,,
151,10,0.8681688,['target'],,,,,
153,10,1.0298564,['target'],,,,,
154,10,0.9050252,['target'],,,,,
155,10,0.9257071,['target'],,,,,
157,10,1.206229,['target'],,,,,
163,10,0.8616238,['target'],,,,,
166,10,1.1148657,['target'],,,,,
169,10,1.3756354,['target'],,,,,
170,10,1.0642646,['target'],,,,,
172,10,1.3954925,['target'],,,,,
173,10,1.2741411,['target'],,,,,
175,10,1.1173323,['target'],,,,,
177,10,1.546875,['target'],,,,,
180,10,1.0958843,['target'],,,,,
182,10,1.0521307,['target'],,,,,
183,10,1.9226528,['target'],,,,,
185,10,1.5162885,['target'],,,,,
188,10,0.8708923,['target'],,,,,
192,10,1.2837896,['target'],,,,,
195,10,1.289795,['target'],,,,,
196,10,1.4556649,['target'],,,,,
197,10,1.0349292,['target'],,,,,
199,10,1.249558,['target'],,,,,
0,10,1.434299684,['target'],,,,,
1,10,1.288731074,['target'],,,,,
3,10,1.203953901,['target'],,,,,
6,10,1.17266629,['target'],,,,,
8,10,0.98119995,['target'],,,,,
10,10,1.023106745,['target'],,,,,
13,10,0.76557604,['target'],,,,,
15,10,1.242558232,['target'],,,,,
16,10,1.040003964,['target'],,,,,
18,10,1.133367934,['target'],,,,,
21,10,0.968540129,['target'],,,,,
22,10,1.649010952,['target'],,,,,
23,10,2.824920023,['target'],,,,,
29,10,1.250603958,['target'],,,,,
30,10,1.661253189,['target'],,,,,
32,10,0.976820655,['target'],,,,,
33,10,1.445980441,['target'],,,,,
37,10,0.948098373,['target'],,,,,
41,10,1.193317286,['target'],,,,,
43,10,1.166331486,['target'],,,,,
44,10,1.1300123,['target'],,,,,
47,10,1.036889395,['target'],,,,,
49,10,1.329496462,['target'],,,,,
50,10,5.113167687,['target'],,,,,
51,10,2.146117646,['target'],,,,,
52,10,1.704607309,['target'],,,,,
53,10,1.100458791,['target'],,,,,
54,10,1.152547668,['target'],,,,,
55,10,1.270586509,['target'],,,,,
58,10,1.346888813,['target'],,,,,
61,10,1.167071502,['target'],,,,,
63,10,0.968567172,['target'],,,,,
64,10,0.994725902,['target'],,,,,
65,10,1.509534231,['target'],,,,,
69,10,1.25997612,['target'],,,,,
72,10,0.830703968,['target'],,,,,
73,10,1.241437675,['target'],,,,,
80,10,1.018793776,['target'],,,,,
81,10,1.217259875,['target'],,,,,
83,10,1.592723726,['target'],,,,,
84,10,1.508089352,['target'],,,,,
85,10,2.021557516,['target'],,,,,
87,10,1.446127713,['target'],,,,,
88,10,1.219659757,['target'],,,,,
90,10,1.255835803,['target'],,,,,
93,10,1.019085147,['target'],,,,,
94,10,1.439481127,['target'],,,,,
95,10,1.542719401,['target'],,,,,
97,10,1.186953017,['target'],,,,,
99,10,1.291576216,['target'],,,,,
103,10,0.932903833,['target'],,,,,
106,10,1.25252727,['target'],,,,,
107,10,0.938847758,['target'],,,,,
108,10,1.012124834,['target'],,,,,
109,10,0.883970934,['target'],,,,,
110,10,1.247094321,['target'],,,,,
111,10,1.019965703,['target'],,,,,
113,10,1.229664559,['target'],,,,,
114,10,2.436575206,['target'],,,,,
115,10,1.27392787,['target'],,,,,
116,10,1.028742836,['target'],,,,,
117,10,2.480043855,['target'],,,,,
118,10,1.108257649,['target'],,,,,
120,10,1.355992408,['target'],,,,,
121,10,1.248782382,['target'],,,,,
122,10,1.086749009,['target'],,,,,
